student id,grade
810102376,0
810102378,13.2
810101609,13.58
810101596,8.68
810102383,0
810102384,17.03
810102575,0
810102393,9.53
810102396,0
810102572,6.84
810102397,8.73
810102398,14.74
810101603,4.88
810102404,7.22
810102405,8.8
810102408,17.95
810102410,13.81
810102411,10.14
810102541,20.31
810102352,0
810102415,15.8
810100101,1.34
810102581,0
810102420,7.86
810102423,11
810100576,7.03
810102422,11.72
810198372,0
810102366,0
810102367,0
810102425,14.33
810102589,12.42
810102543,19.71
810100108,17.87
810102427,20.28
810102428,19.57
810101601,7.84
810000019,6.02
810102429,17.91
810198379,10.32
810102432,13.7
810102433,7.01
810102552,17.68
810101579,9.7
810102553,0.25
810102544,14.66
810102566,13.7
810102583,0
810102441,17.49
810102442,19.28
810199567,10.72
810102556,15.64
810002010,0
810102557,0
810102446,8.1
810102448,2.31
810199422,16.05
810102576,15.06
810102454,18.05
810102536,4.94
810102455,1.94
810199429,2.85
810102597,0
810102538,15.77
810102562,0
810102459,8.34
810001014,0
810100578,3.84
810102460,17.67
810002018,4.73
810102560,14.03
810102467,19.84
810102469,19.01
810102586,0
810100586,12.33
810102470,18.74
810102471,16.76
810102573,16.8
810101556,8.54
810102472,0.38
810102588,19.92
810102567,10.79
810102579,17.23
810102474,16.4
810102476,14.1
810102506,11.49
810101604,19.1
810199456,18.82
810102574,8.43
810101611,6.59
810102582,4.54
810100189,9.31
810102479,12.06
810100191,10.04
810102480,18.96
810102482,18.74
810102483,19.79
810102485,12.19
440299101,0
810102491,18.52
810102580,4.14
810102494,18.22
810102495,17.48
810102499,18.9
810102500,15.94
810102501,16.94
810102504,12.12
810102578,10.36
810102358,0
810102510,16.55
810102570,0
220701095,0
810102511,0
810102549,18.68
810102512,3.87
810102564,12.68
810102539,11.25
810102559,14.65
810102585,12.31
810102351,0
810101590,0
810199494,19.25
810102515,16.67
810199582,0.81
810102519,16.34
810198522,0
811902142,13.44
810100217,1.47
810102550,18.57
810002017,6.25
810102520,7.71
810102568,3.64
810102584,0
810102529,16.33
810101587,9.93
810199508,15.73
810102571,0
810102563,10.8
810002003,11.85
810102532,14.4
220702105,12.22
810101589,4.96
