studentId,score
610700002,2.11224489795918
810002010,0.244897959183673
810002033,15
810003038,15
810003060,4.77551020408163
810101385,13.1938775510204
810101446,9.42857142857143
810101524,12.2142857142857
810103347,0
810103366,15
810103377,15
810103382,2.54081632653061
810103391,12.5204081632653
810103397,15
810103413,15
810103414,15
810103422,0
810103424,15
810103425,5.1734693877551
810103434,9.48979591836735
810103448,15
810103460,15
810103468,2.93877551020408
810103474,7.74489795918367
810103476,15
810103480,12.7959183673469
810103482,15
810103485,0.489795918367347
810103490,15
810103494,15
810103496,11.7857142857143
810103498,0.612244897959184
810103504,15
810103506,9.94897959183673
810103510,2.69387755102041
810103515,13.3775510204082
810103522,15
810103525,6.27551020408163
810103526,0
810103547,3.52040816326531
810103554,14.6020408163265
810103558,12.0612244897959
810103560,15
810103561,11.0510204081633
810103562,4.10204081632653
810103564,0.857142857142857
810103567,3.21428571428571
810103569,7.07142857142857
810103575,3.45918367346939
810103580,15
810103582,0.153061224489796
810103583,11.3265306122449
810103588,15
810103597,14.7857142857143
810103598,0
810103599,15
810103602,3.48979591836735
